Updated,2023/12/08,,,,,,,,
Audio,Speaker,"4* Built-in Speaker ( 2* 4Ω/2W, 2* 8Ω/1W)","4* Built-in Speaker ( 2* 4Ω/2W, 2* 8Ω/1W)","4* Built-in Speaker ( 2* 4Ω/2W, 2* 8Ω/1W)","4* Built-in Speaker ( 2* 4Ω/2W, 2* 8Ω/1W)","4* Built-in Speaker ( 2* 4Ω/2W, 2* 8Ω/1W)","4* Built-in Speaker ( 2* 4Ω/2W, 2* 8Ω/1W)","4* Built-in Speaker ( 2* 4Ω/2W, 2* 8Ω/1W)",
,Mic,2* Built-in (dual) digital microphones on camera module,2* Built-in (dual) digital microphones on camera module,2* Built-in (dual) digital microphones on camera module,2* Built-in (dual) digital microphones on camera module,2* Built-in (dual) digital microphones on camera module,2* Built-in (dual) digital microphones on camera module,2* Built-in (dual) digital microphones on camera module,
,Others,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Battery,Type,Lithium-ion polymer battery,Lithium-ion polymer battery,Lithium-ion polymer battery,Lithium-ion polymer battery,Lithium-ion polymer battery,Lithium-ion polymer battery,Lithium-ion polymer battery,
,Capacity,"1* 69.99Wh, 11.55V/6060mAh, 4S1P, Smart battery","1* 69.99Wh, 11.55V/6060mAh, 4S1P, Smart battery","1* 69.99Wh, 11.55V/6060mAh, 4S1P, Smart battery","1* 69.99Wh, 11.55V/6060mAh, 4S1P, Smart battery","1* 69.99Wh, 11.55V/6060mAh, 4S1P, Smart battery","1* 69.99Wh, 11.55V/6060mAh, 4S1P, Smart battery","1* 69.99Wh, 11.55V/6060mAh, 4S1P,Dumb battery",
,Certification,"CB,MSDS,UN38.3, Airflight transportation report ","CB,MSDS,UN38.3, Airflight transportation report ","CB,MSDS,UN38.3, Airflight transportation report ","CB,MSDS,UN38.3, Airflight transportation report ","CB,MSDS,UN38.3, Airflight transportation report ","CB,MSDS,UN38.3, Airflight transportation report ","CB,MSDS,UN38.3, Airflight transportation report ",
,Life,10 Hours,10 Hours,10 Hours,10 Hours,"5 - 8 Hours H Series)
10 Hours (U Series)","5 - 8 Hours (H Series)
10  Hours (U Series)",10 Hours,
Hardware configuration,,,,,,,,,
Type,Details,Descriptions,Descriptions,Descriptions,Descriptions,Descriptions,Descriptions,Descriptions,
CPU,Module,"AMD Zen3+,  AMD Rembrandt U Series","AMD Zen3+,  AMD Rembrandt H Series","AMD Zen 3+, AMD Rembrandt Refresh, TDP: 45W","AMD Zen 3+, AMD Rembrandt Refresh HS Series, TDP: 45W","AMD Zen4,  AMD Phoenix HS Series, TDP: 45W","AMD Zen4,  AMD Hawk Point HS Series, TDP: 45W","AMD Zen 3, AMD Cezanne, TDP: 45W *MP",
,,"Ryzen™ 5 6600U (6C/12T, 4.5GHz/2.9GHz,TDP: 15~28W)","Ryzen™ 5 6600H (6C/12T, 4.5GHz/3.3GHz,TDP: 45W)","Ryzen™3 7335U (4C/8T, 4.3GHz/3.0GHz, TDP: 28W)","Ryzen™ 5 7535HS (6C/12T, 4.55GHz/3.3GHz, TDP: 35-54W)","Ryzen™ 5 7640HS (6C/12T, 5.0GHz/4.3GHz, TDP: 35W~54W)","Ryzen™ 5 8645HS (8C/16T, 5.2GHz/4.0GHz, TDP: 35W~54W)","Ryzen™5 5600H (6C/12T, 4.2GHz/3.3GHz, TDP: 45W)",
,,"Ryzen™ 7 6800U (8C/16T, 4.7GHz/2.7GHz,TDP: 15~28W)","Ryzen™ 7 6800H (8C/16T, 4.7GHz/3.2GHz,TDP: 45W)","Ryzen™ 5 7535U (6C/12T, 4.55GHz/2.9GHz, TDP: 28W)","Ryzen™ 7 7735HS (8C/16T, 4.75GHz/3.2GHz, TDP: 35-54W)","Ryzen™ 7 7840HS (8C/16T, 5.1GHz/3.8GHz, TDP: 35W~54W) MP","Ryzen™ 7 8845HS (8C/16T, 5.1GHz/3.8GHz, TDP: 35W~54W) Main","Ryzen™7 5800H (8C/16T, 4.4GHz/3.2GHz, TDP: 45W)",
,,N/A,"AMD Zen3+,  AMD Rembrandt U Series","Ryzen™ 7 7735U (8C/16T, 4.75GHz/2.7GHz, TDP: 28W)","AMD Zen 3+, AMD Rembrandt Refresh U Series, TDP: 45W","Ryzen™ 9 7940HS (8C/16T, 5.2GHz/4.0GHz, TDP: 35W~54W)","Ryzen™ 9 8945HS (8C/16T, 5.0GHz/3.5GHz, TDP: 35W~54W)","Ryzen™9 5900H (6C/12T, 4.2GHz/3.1GHz, TDP: 45W)",
,,N/A,"Ryzen™ 5 6600U (6C/12T, 4.5GHz/2.9GHz,TDP: 15~28W)",N/A,"Ryzen™3 7335U (4C/8T, 4.3GHz/3.0GHz, TDP: 28W)","AMD Zen4,  AMD Phoenix U Series, TDP: 30W","AMD Zen4,  AMD Hawk Point U Series, TDP: 28W","AMD Zen 3, AMD Barcelo Refresh, TDP: 15W *NEED TO VERIFY",
,,N/A,"Ryzen™ 7 6800U (8C/16T, 4.7GHz/2.7GHz,TDP: 15~28W)",N/A,"Ryzen™ 5 7535U (6C/12T, 4.55GHz/2.9GHz, TDP: 28W)","Ryzen™ 5 7440U (4C/8T, 4.7GHz/3.0GHz, TDP: 15W~30W)","Ryzen™ 3 8440U (6C/12T, 4.7GHz/3.0GHz, TDP: 28W)","Ryzen™ 3 7330U (4C/8T, 4.3GHz/2.3GHz, TDP: 15W)",
,,N/A,N/A,N/A,"Ryzen™ 7 7735U (8C/16T, 4.75GHz/2.7GHz, TDP: 28W)","Ryzen™ 7 7640U (8C/16T, 4.9GHz/3.2GHz, TDP: 15W~30W)","Ryzen™ 5 8640U (6C/12T, 4.9GHz/3.5GHz, TDP: 28W) Main","Ryzen™ 5 7530U (6C/12T, 4.5GHz/2.0GHz, TDP: 15W)",
,,N/A,N/A,N/A,N/A,"Ryzen™ 7 7840U (8C/16T, 5.1GHz/3.3GHz, TDP: 15W~30W) MP","Ryzen™ 7 8840U (8C/16T, 5.1GHz/3.3GHz, TDP: 35W~54W) Main","Ryzen™ 7 7730U (8C/16T, 4.5GHz/2.0GHz, TDP: 15W)",
GPU,Model,"AMD Radeon™ RX6500M(P50), 4GB, GDDR6, 
50W, Smart Shift: 60W",AMD Radeon™ 660M (R5 6600U/6600H),"AMD Radeon™ RX6500M(P50), 4GB, GDDR6, 
50W, Smart Shift: 60W",AMD Radeon™ 660M (R3 7335U/R5 7535U/R5 7535HS),AMD Radeon™ 740M (R5 7440U),AMD Radeon™ Graphics,AMD Radeon™ Graphics,
,,N/A,AMD Radeon™ 680M (R5 6800U/6800H),"AMD Radeon™ RX6300M(M25), 2GB, GDDR6, 25W, Smart Shift: 35W",AMD Radeon™ 680M (R7 7735U/R7 7735HS),AMD Radeon™ 760M (R5 7640HS/R7 7640U),N/A,N/A,
,,N/A,N/A,N/A,N/A,AMD Radeon™ 780M (R7 7840HS/R9 7940HS/R9 7840U),N/A,N/A,
Memory,RAM,"LPDDR5-6400Mhz (315B), up to 16G/32G","LPDDR5-6400Mhz (315B), up to 16G/32G(1x16G)","LPDDR5-6400Mhz (315B), up to 16G/32G","LPDDR5-6400Mhz (315B), up to 16G/32G","LPDDR5-6400Mhz (315B), up to 16G/32G","LPDDR5-6400Mhz (315B), up to 16G/32G","1x SO-DIMM DDR4 3200MHz, up to 8GB/16GB
1x SO-DIMM DDR4 3200MHz, up to 4GB/8GB (Onboard)",
LCD Connector,Port,LCD connector optional,LCD connector optional,LCD connector optional,LCD connector optional,LCD connector optional,LCD connector optional,LCD connector optional,
Storage,SSD,"2* M.2 2280 PCle G4 (Lane 4)/NVME SSD , up to 8TB (2x 1TB)","2* M.2 2280 PCle G4 (Lane 4)/NVME SSD , up to 8TB (2x 1TB)","2* M.2 2280 PCle G4 (Lane 4)/NVME SSD , up to 8TB (2x 1TB)","2* M.2 2280 PCle G4 (Lane 4)/NVME SSD , up to 8TB (2x 1TB)","2* M.2 2280 PCle G4 (Lane 4)/NVME SSD , up to 8TB (2x 1TB)","2* M.2 2280 PCle G4 (Lane 4)/NVME SSD , up to 8TB (2x 1TB)","2* M.2 2280 PCle G4 (Lane 4)/NVME SSD , up to 8TB (2x 1TB)",
